TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1512471243727;-;-;9.137955;-0.7731323;-1.0108643;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243752;-;-;8.936844;-0.5037842;-0.7570801;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243767;-;-;8.967972;-0.54089355;-0.8145447;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243787;-;-;9.182251;-0.46788025;-0.95939636;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243808;-;-;9.233734;-0.3182373;-1.0599518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243828;-;-;9.149933;-0.7013092;-0.8779907;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243849;-;-;9.121201;-0.7922821;-0.9833374;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243868;-;-;9.122391;-0.4834442;-0.8767853;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243891;-;-;9.0733185;-0.6318817;-0.67448425;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243911;-;-;8.660324;-0.6043396;-0.26268005;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243932;-;-;9.221756;-0.48223877;-0.63616943;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243952;-;-;9.385757;-0.5540619;-0.98573303;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471243973;-;-;9.181061;-0.51815796;-0.70321655;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471244005;-;-;9.31633;-0.53730774;-0.68167114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471244014;-;-;9.116409;-0.7108917;-0.35604858;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1512471244034;-;-;9.133179;-0.5827942;-0.63497925;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
