TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1514180680840;-;-;8.923676;-1.1334686;3.1502533;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180680874;-;-;8.394562;-0.97184753;3.6039581;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180680877;-;-;8.382584;-1.0412903;3.5644531;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180680898;-;-;8.50589;-1.0939636;3.3609467;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180680918;-;-;8.677078;-1.2124786;3.3848877;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180680938;-;-;8.8003845;-1.0927582;3.2532043;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180680960;-;-;8.708206;-0.9359436;3.3453827;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180680981;-;-;8.647156;-0.7671509;3.420807;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681001;-;-;8.836288;-0.73483276;3.3238373;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681022;-;-;8.886566;-0.71806335;3.0173798;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681042;-;-;8.7656555;-0.74320984;3.1622314;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681062;-;-;8.788406;-0.84017944;3.2292633;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681083;-;-;8.788406;-0.93115234;3.0640564;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681111;-;-;8.649536;-1.0496674;2.5971985;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681123;-;-;8.560959;-1.0137482;2.4032593;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681143;-;-;8.203018;-1.1729736;2.7181091;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681164;-;-;9.086487;-0.6222992;2.580429;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681184;-;-;8.650742;-0.799469;2.4308014;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681205;-;-;8.1527405;-0.9503021;1.8968964;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681224;-;-;7.8965607;-0.95150757;1.1403198;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681244;-;-;6.319992;1.5456543;-0.377594;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681265;-;-;7.355484;0.29826355;-0.09030151;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681284;-;-;9.461182;0.49339294;0.31910706;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681304;-;-;11.004242;1.358902;-0.026855469;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681325;-;-;10.391327;1.5193176;-1.2718353;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681346;-;-;8.953613;1.5851593;-1.1916351;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681366;-;-;10.399704;1.9598389;0.51423645;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681387;-;-;10.610397;2.035263;0.24249268;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681407;-;-;10.321899;1.6545868;0.41966248;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681427;-;-;8.914108;0.8154144;0.5884552;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681447;-;-;7.9947357;0.0049743652;0.642334;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681468;-;-;7.502716;0.28630066;1.3713684;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514180681487;-;-;8.193451;0.39762878;1.4671326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
