TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1513497286084;-;-;9.080505;-1.0987396;-0.5799103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286111;-;-;9.021835;-1.1382446;-0.7893982;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286120;-;-;9.134369;-1.1238861;-0.7403259;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286140;-;-;9.266052;-1.0149536;-0.67807007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286161;-;-;9.214569;-0.9646759;-0.80137634;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286182;-;-;9.188232;-0.9084015;-0.7750397;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286202;-;-;9.225342;-0.89404297;-0.8540497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286222;-;-;9.205002;-0.9143982;-0.9043274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286242;-;-;9.170288;-0.9539032;-0.89834595;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286263;-;-;9.207397;-1.0161438;-0.9007416;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286283;-;-;9.195419;-0.96946716;-0.78341675;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286304;-;-;9.15712;-0.88446045;-0.7103882;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286324;-;-;9.173874;-0.9838257;-0.7391205;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286352;-;-;9.17746;-1.052063;-0.7379303;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286364;-;-;9.222961;-1.0807953;-0.7056122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286385;-;-;9.228943;-1.1095276;-0.70321655;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286405;-;-;9.21817;-1.1298676;-0.6685028;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286426;-;-;9.2313385;-1.1286774;-0.6086426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286446;-;-;9.232529;-1.1693726;-0.654129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286466;-;-;9.06015;-1.0173492;-0.90911865;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286486;-;-;9.173874;-1.1214905;-0.65293884;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286507;-;-;9.094864;-1.1478271;-0.6661072;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286528;-;-;9.203796;-1.2232513;-0.6996155;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286549;-;-;9.109222;-1.1969147;-0.40872192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286569;-;-;8.787216;-1.2196503;-0.67448425;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286588;-;-;8.60405;-1.1645813;-0.59547424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286609;-;-;9.042191;-1.214859;-0.66490173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286629;-;-;9.207397;-1.2016907;-0.7271576;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286650;-;-;9.59166;-1.3956299;-0.74272156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286669;-;-;9.161896;-1.1346588;-0.69363403;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286689;-;-;9.222961;-0.81144714;-1.1377563;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286710;-;-;9.650314;-0.73602295;-1.0982513;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286730;-;-;9.289993;-0.4152069;-1.001297;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286751;-;-;9.318726;-0.4379425;-0.7415161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286771;-;-;9.232529;-0.75398254;-1.2658539;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286792;-;-;9.371399;-0.87968445;-0.8097534;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286811;-;-;8.906921;-0.58039856;-0.4159088;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286832;-;-;8.735733;-0.6318817;-0.8289032;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513497286852;-;-;9.188232;-1.1777496;-1.4573822;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
