TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1514103318017;-;-;8.825516;-2.4550629;0.2987671;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318016;-;-;8.88298;-2.3760529;0.47233582;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318034;-;-;8.847061;-2.3556976;0.3023529;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318055;-;-;9.045776;-2.2204285;0.17785645;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318075;-;-;9.360626;-2.2252197;0.16947937;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318096;-;-;8.966782;-2.1845245;-0.16571045;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318116;-;-;9.062546;-2.2359924;-0.0340271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318136;-;-;8.528641;-2.2886658;-0.451828;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318156;-;-;8.308365;-2.8165894;1.0242004;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318177;-;-;9.6467285;-1.6434326;-2.1864166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318197;-;-;7.889389;-2.7926483;0.6602783;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318217;-;-;9.07811;-3.3935852;0.26763916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318238;-;-;8.613632;-2.9291077;-0.19085693;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318268;-;-;9.106842;-2.495758;-0.33210754;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318278;-;-;8.933258;-2.056427;-0.11782837;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318299;-;-;7.8247375;-2.490982;-0.07952881;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318319;-;-;7.2836456;-2.4299164;-0.3764038;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514103318339;-;-;8.382584;-2.0312958;-0.6577301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
