TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1513510501339;-;-;8.784821;-0.49899292;-1.0910797;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501341;-;-;8.784821;-0.49899292;-1.0910797;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501354;-;-;8.80397;-0.5337219;-1.3101501;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501374;-;-;9.228943;-0.43675232;-1.90271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501394;-;-;9.019455;-0.0021972656;-1.8237;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501414;-;-;9.091278;-0.3074646;-1.3544312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501435;-;-;9.47435;0.09954834;-2.3252869;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501456;-;-;9.397736;0.25875854;-1.3460541;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501476;-;-;9.517441;0.2420044;-0.5104828;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501496;-;-;8.757278;0.46705627;-0.23155212;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501517;-;-;9.451599;-0.31584167;-0.7738342;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501538;-;-;8.90213;-0.54927063;-1.1712799;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501558;-;-;9.0793;-0.36013794;-1.0515747;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501587;-;-;9.13916;0.21087646;-1.4466095;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501598;-;-;9.076904;0.36410522;-1.4645691;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501618;-;-;9.189438;0.59754944;-1.4549866;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501639;-;-;9.228943;0.5556488;-1.5256195;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501659;-;-;9.099655;0.31861877;-1.7075806;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501679;-;-;9.020645;-0.02255249;-1.8787689;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501700;-;-;8.914108;-0.22486877;-1.8296814;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501720;-;-;9.056564;-0.4152069;-1.9637604;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501741;-;-;9.199005;-0.55885315;-1.9912872;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501762;-;-;9.009872;-0.5349121;-1.8584137;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501781;-;-;9.12001;-0.37928772;-1.5854797;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501802;-;-;9.596451;-0.38049316;-1.6764526;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501822;-;-;9.790375;-0.37809753;-1.7267303;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501844;-;-;9.961563;-0.3768921;-1.8667908;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501863;-;-;9.768829;-0.30267334;-2.0355835;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501884;-;-;9.797562;-0.50138855;-2.2187347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501905;-;-;9.105637;-0.18894958;-2.1576843;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501926;-;-;8.916504;0.009765625;-2.0164337;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501946;-;-;8.739319;0.26115417;-1.6764526;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501966;-;-;8.686661;0.30426025;-1.7614441;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510501987;-;-;8.507095;0.26475525;-2.163681;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510502007;-;-;8.469971;0.13786316;-2.71315;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510502028;-;-;8.74411;0.16539001;-2.6724396;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510502048;-;-;8.203018;-0.3876648;-3.1081848;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513510502068;-;-;7.6176453;-0.014175415;-3.5583038;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
