TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1513509897945;-;-;9.003891;-0.44273376;-0.8600311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509897949;-;-;9.003891;-0.44273376;-0.8600311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509897968;-;-;9.118805;-0.7024994;-1.2634583;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509897988;-;-;9.220566;-0.68574524;-1.3915405;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898008;-;-;9.063736;-0.6522217;-1.3484497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898029;-;-;9.076904;-0.3936615;-1.2682495;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898048;-;-;9.14035;-0.40083313;-1.3113403;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898068;-;-;9.213379;-0.36013794;-1.3819733;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898088;-;-;9.148727;-0.47027588;-1.3173218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898109;-;-;9.128387;-0.66778564;-1.2634583;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898129;-;-;9.096069;-0.66778564;-1.0671387;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898150;-;-;9.187042;-0.15782166;-1.9230652;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898171;-;-;9.066132;-0.13148499;-1.2454987;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898202;-;-;9.102051;-0.463089;-0.8791809;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898211;-;-;9.222961;-0.5792084;-1.100647;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898232;-;-;9.200211;-0.5708313;-1.7578583;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898252;-;-;8.926071;-0.41879272;-1.2059937;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898272;-;-;8.996704;-0.37330627;-1.0084686;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898293;-;-;9.031418;-0.2715454;-1.164093;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898312;-;-;8.936844;-0.117126465;-1.3855591;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898333;-;-;8.677078;-0.2966919;-1.1844482;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898353;-;-;9.455185;-0.28831482;-1.3304901;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898373;-;-;8.876999;-0.06324768;-0.9354553;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898394;-;-;9.918472;-0.13388062;-1.8943329;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898414;-;-;10.011841;0.009765625;-0.9450226;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898434;-;-;9.215775;0.6849365;-0.946228;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898455;-;-;9.147537;0.3461609;-0.9474182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898475;-;-;8.009094;0.73760986;-1.064743;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898495;-;-;8.317947;0.35572815;-1.3556366;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898516;-;-;8.453217;0.33299255;-1.8404541;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898536;-;-;8.507095;0.714859;-2.0463562;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898556;-;-;9.15831;0.8848419;-1.7123718;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898576;-;-;9.29718;1.7958374;-1.5184326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898596;-;-;8.1766815;1.5348816;-0.13937378;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898616;-;-;9.920868;1.0584259;-0.6792755;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898636;-;-;11.020996;0.7005005;-1.3688049;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898656;-;-;10.095642;0.66218567;-1.5052643;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898676;-;-;9.046982;0.9087982;-1.2227478;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898696;-;-;8.374207;1.7551422;-1.1616974;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898716;-;-;9.425262;1.4486847;-1.0719147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898736;-;-;9.558136;1.7000732;-1.2407074;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898756;-;-;8.503494;1.1805267;-2.4725342;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898777;-;-;8.434067;0.8525238;-1.219162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898797;-;-;7.738556;2.0532227;-0.6840515;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898817;-;-;9.230133;1.1745453;-0.016082764;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898837;-;-;9.616806;1.2822876;-0.38957214;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898858;-;-;7.8091736;1.4654388;-0.66729736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898877;-;-;7.9516296;2.1789093;0.08088684;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898897;-;-;9.975937;1.0895538;-0.68167114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898918;-;-;10.064514;0.03251648;-1.7997589;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898937;-;-;8.66391;-1.1035309;-1.3185272;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898957;-;-;10.081268;-0.24760437;-1.9721375;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898978;-;-;11.302322;0.730423;-2.4150696;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509898998;-;-;11.015015;1.6521912;-3.097412;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509899018;-;-;9.565323;2.239975;-3.7713776;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509899038;-;-;9.419281;1.461853;-4.7877197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509899059;-;-;9.688629;0.73521423;-4.2214966;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509899079;-;-;9.134369;-0.63905334;-3.3583832;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509899100;-;-;6.4396973;-0.9682617;-2.8639832;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509899120;-;-;8.814743;-2.4490814;-4.250229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509899140;-;-;9.659897;-1.2064819;-4.028763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509899160;-;-;8.879379;-0.13748169;-3.9246063;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509899181;-;-;9.410904;0.6382446;-4.3160553;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
