TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1513509613129;-;-;8.458008;-1.0855713;-2.606598;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613133;-;-;8.458008;-1.0855713;-2.606598;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613153;-;-;8.8051605;-1.175354;-2.658081;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613174;-;-;8.886566;-1.091568;-2.7945404;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613194;-;-;8.892548;-0.93115234;-2.591034;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613214;-;-;8.7764435;-0.8533478;-2.6401215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613234;-;-;8.829102;-0.8246155;-2.7107544;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613255;-;-;8.7812195;-0.8353882;-2.6437073;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613275;-;-;8.790802;-0.8353882;-2.788559;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613296;-;-;8.844666;-0.92277527;-2.6916046;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613316;-;-;8.928467;-0.8701019;-2.6293488;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613337;-;-;8.780029;-0.9503021;-2.6604767;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613357;-;-;8.756088;-0.9107971;-2.5204163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613379;-;-;8.759674;-0.86531067;-2.546753;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613398;-;-;8.491531;-0.9431305;-2.8125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613418;-;-;8.916504;-1.0867767;-2.444992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613439;-;-;8.738129;-0.9945984;-2.4785156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613458;-;-;8.933258;-1.0592499;-2.6844177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613479;-;-;8.923676;-1.1394501;-2.9657288;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613499;-;-;9.386963;-1.1059265;-2.2163544;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613519;-;-;9.012268;-1.0448761;-2.1313477;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613539;-;-;8.618423;-0.8892517;-2.4569702;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613559;-;-;8.960785;-1.2040863;-2.223526;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613579;-;-;9.82988;-1.3692932;-2.357605;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613599;-;-;8.991913;-1.273529;-2.4497833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613619;-;-;8.273651;-1.2400055;-2.5431519;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613640;-;-;8.995499;-1.0999451;-1.8033447;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613660;-;-;9.131973;-1.3848572;-1.7039948;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613680;-;-;9.328293;-1.3740845;-2.4414063;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613700;-;-;8.641159;-1.1849365;-2.5503387;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613721;-;-;8.641159;-1.2555695;-1.8548279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613742;-;-;9.082901;-1.3621063;-1.0910797;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613763;-;-;9.560532;-1.4219666;-2.3947144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613783;-;-;8.946426;-1.7104645;-1.9853058;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613803;-;-;8.548981;-1.4351349;-1.2024078;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613824;-;-;9.893326;-1.186142;-0.89953613;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613844;-;-;6.987961;0.1043396;-3.2973328;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613864;-;-;9.092468;-0.8964386;-2.2881775;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613885;-;-;8.751297;-0.33738708;-2.163681;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613905;-;-;9.383362;-0.4259796;-2.0080566;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613925;-;-;10.890518;-0.47984314;-1.535202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613946;-;-;7.8007965;0.5233307;-3.590622;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613966;-;-;7.9001617;1.0093536;-2.7993317;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1513509613986;-;-;9.96875;0.052871704;-1.6908264;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
