TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1514208699821;-;-;8.993118;-1.3046417;3.5273438;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699822;-;-;8.993118;-1.3046417;3.5273438;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699833;-;-;7.787628;-1.3824615;4.082794;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699853;-;-;7.739746;-1.3980255;3.8194275;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699874;-;-;8.307175;-1.2771149;3.837387;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699894;-;-;8.50589;-1.1957092;3.797882;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699914;-;-;8.560959;-1.2926788;3.607544;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699934;-;-;8.472366;-1.3896484;3.655426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699955;-;-;8.710602;-1.4734344;3.6183167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699976;-;-;8.942825;-1.4925995;3.4519196;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208699996;-;-;9.07811;-1.696106;3.2376404;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700016;-;-;8.632782;-1.4985809;2.9323883;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700037;-;-;8.46759;-1.091568;2.429596;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700069;-;-;7.944458;-0.99220276;1.1594696;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700077;-;-;7.6583405;-0.7480011;0.5549469;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700098;-;-;7.5673676;0.12109375;0.9104767;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700118;-;-;9.4096985;-0.24880981;2.3553772;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700138;-;-;11.983475;-0.9682617;0.21017456;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700159;-;-;9.764038;-1.6470184;-4.03714;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700179;-;-;10.466736;-1.1957092;-2.0595245;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700199;-;-;9.485123;-1.1897278;-1.9254456;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700220;-;-;9.602432;-0.973053;-1.1174164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700240;-;-;8.1371765;-1.0724182;-1.0108643;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700260;-;-;9.574905;-1.2028961;-1.2790222;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700281;-;-;8.918884;-1.1394501;-0.80496216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700301;-;-;8.589691;-0.81144714;-1.3675995;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700321;-;-;8.790802;-0.6246948;-1.2526855;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700341;-;-;9.330688;-0.2571869;-1.195221;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700361;-;-;9.183456;-0.38287354;-1.4226685;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700382;-;-;9.504272;-0.14346313;-1.2012024;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700403;-;-;8.884171;0.03730774;-0.7080078;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700423;-;-;9.578491;-0.11114502;-1.4897003;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700444;-;-;9.391739;-0.057266235;-2.4150696;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700464;-;-;10.354218;-0.65701294;-0.8540497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700484;-;-;10.215347;-0.22486877;-1.1904297;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700505;-;-;9.682648;0.41319275;-1.3999176;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700525;-;-;8.624405;1.2332001;-2.4581604;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700545;-;-;8.702209;1.4630432;-1.9865112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700565;-;-;8.564545;1.1494141;-2.2618408;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700585;-;-;9.369003;1.9047852;-2.13974;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700605;-;-;8.357452;0.04208374;-3.3164825;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700625;-;-;9.017059;0.99497986;-2.6329346;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700645;-;-;8.807556;1.0799713;-0.7774353;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700665;-;-;7.9863434;1.6893005;-3.4302063;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700686;-;-;7.9935303;1.9790039;-2.4857025;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700706;-;-;8.6423645;2.0472412;-2.5180206;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700726;-;-;7.869034;2.3105927;-2.8747559;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700747;-;-;7.6619415;2.145401;-2.1900177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700767;-;-;7.581726;1.3385468;-3.6373138;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700788;-;-;7.633209;1.4594574;-3.317688;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700808;-;-;9.093674;0.8213959;-2.1433258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700828;-;-;9.31633;-1.0448761;-2.4258423;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700848;-;-;8.173096;-1.9810028;-1.5196381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700868;-;-;10.08606;-1.5763855;-1.6644897;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700889;-;-;8.532227;0.30784607;-0.29859924;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700909;-;-;9.225342;-2.0384674;-0.79418945;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700929;-;-;8.414917;-0.47625732;-0.61343384;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700949;-;-;8.438858;-0.6031494;-0.8097534;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700970;-;-;8.361038;-0.32661438;-2.1433258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208700990;-;-;8.991913;-0.5756073;-3.4218292;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701010;-;-;10.297958;0.13665771;-3.017212;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701031;-;-;10.950378;0.4072113;-3.0674896;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701051;-;-;10.4487915;0.19770813;-3.488861;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701072;-;-;9.71376;0.2803192;-6.346344;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701092;-;-;8.570541;0.50177;-4.167618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701112;-;-;6.4492645;0.49339294;-4.220291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701132;-;-;10.283585;-1.0197449;-3.8731384;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701153;-;-;8.315552;0.16539001;-4.7314606;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701173;-;-;9.993881;0.19651794;-4.049103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701193;-;-;10.203384;0.2815094;-2.8891144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701213;-;-;10.295563;-0.45710754;-2.4030914;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701233;-;-;9.841858;-1.609909;-2.2019806;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701253;-;-;9.768829;-2.5292816;-2.084671;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701273;-;-;8.892548;-2.574768;-2.3803558;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701293;-;-;7.497925;-2.009735;-2.646103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701314;-;-;6.2792816;-1.4506989;-2.6125946;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701335;-;-;7.205841;-0.9323425;-1.8727875;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701355;-;-;8.1479645;-0.59117126;-1.7590485;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701375;-;-;8.855438;-0.71447754;-1.5782928;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701396;-;-;8.966782;-1.1669769;-1.8548279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701416;-;-;8.720169;-1.570404;-2.0152283;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701437;-;-;8.786011;-1.7559509;-1.792572;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701457;-;-;8.951218;-2.0899506;-1.5567474;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701477;-;-;8.859039;-2.6011047;-1.2012024;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701497;-;-;8.932053;-3.2463531;-1.5423737;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701518;-;-;9.437241;-3.2140198;-1.9206696;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701539;-;-;10.416458;-2.5831451;-2.4785156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701559;-;-;12.719681;-1.8756714;-2.444992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701579;-;-;14.190918;-1.388443;-2.9681244;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701599;-;-;14.245987;-1.8469391;-5.540695;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701620;-;-;14.976227;-3.704834;-5.5814056;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701639;-;-;14.867279;-4.6984253;-1.9841156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701659;-;-;11.104797;-5.5794983;-4.8858795;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701679;-;-;8.620819;-4.460205;-7.0274963;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701700;-;-;4.8750916;-1.656601;-7.207062;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701719;-;-;3.3415985;0.93751526;-5.5933685;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701739;-;-;4.8236084;1.8126068;-3.7522278;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701759;-;-;6.178726;-0.13148499;-4.2765656;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701780;-;-;9.307953;-0.89045715;-4.6440735;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701800;-;-;10.471527;-1.0041809;-5.0606537;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701820;-;-;9.506668;-1.3082428;-5.125305;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701841;-;-;9.294785;-1.522522;-3.4517517;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701861;-;-;8.386185;-0.9503021;-2.994461;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701881;-;-;6.1679535;0.41558838;-3.077057;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701901;-;-;5.0366974;1.3960114;-2.855606;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701922;-;-;4.9816284;1.9035797;-2.2438812;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701942;-;-;5.426941;1.7970428;-2.0236206;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701962;-;-;6.170349;1.0787811;-1.8859406;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208701983;-;-;6.436096;0.6945038;-2.0906525;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702003;-;-;6.402588;1.0165253;-2.484497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702023;-;-;7.040634;1.7659149;-2.9334106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702044;-;-;7.590103;2.1465912;-3.120163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702063;-;-;8.374207;2.2675018;-3.0327759;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702083;-;-;8.934448;1.9670258;-3.1213531;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702103;-;-;9.141556;1.9263306;-3.2997284;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702123;-;-;9.195419;1.9143524;-3.3511963;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702143;-;-;10.041779;1.3972015;-3.2027588;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702163;-;-;11.752426;0.556839;-3.0124207;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702183;-;-;12.506607;0.30545044;-4.457321;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702204;-;-;11.779968;0.5819855;-8.5933075;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702224;-;-;11.970306;2.058014;-7.7002716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702244;-;-;10.098038;3.4825592;-7.2262115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702265;-;-;9.213379;3.4981232;-7.453659;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702285;-;-;6.5007477;2.2818604;-6.6132965;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702305;-;-;5.1755524;-0.018966675;-4.951721;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702325;-;-;5.589752;-1.5596313;-5.136078;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702346;-;-;6.601303;-1.2747192;-4.950531;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702366;-;-;7.653549;0.2635498;-4.2178955;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702386;-;-;7.2585144;1.4319305;-2.978897;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702407;-;-;6.8610687;1.5755768;-3.4601288;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702427;-;-;6.304428;1.0141296;-3.5882263;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702447;-;-;5.5239105;-0.38526917;-3.214737;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702468;-;-;4.636856;-2.3521118;-2.6197662;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702488;-;-;4.7422028;-3.7491302;-1.6956024;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702508;-;-;5.9105835;-3.953827;-1.9170685;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702529;-;-;7.462021;-2.8776398;-3.203949;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702549;-;-;7.9791718;-1.577591;-3.6552582;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702569;-;-;8.017471;-0.8425598;-3.6791992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702590;-;-;7.7289734;-1.2866974;-4.152054;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702610;-;-;8.351471;-1.8469391;-4.2095184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702631;-;-;9.461182;-2.1306458;-3.8503876;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702652;-;-;10.604416;-2.490982;-3.7306824;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702672;-;-;12.333023;-2.5831451;-4.1376953;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702692;-;-;12.486252;-3.2176208;-4.460907;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702712;-;-;13.386475;-2.2970428;-4.3603516;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702732;-;-;12.380905;-0.34217834;-6.2733154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702752;-;-;9.849045;-0.7228546;-8.815964;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702773;-;-;8.716583;-2.0923462;-7.306427;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702793;-;-;8.337097;-3.807785;-5.646042;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702813;-;-;9.402527;-2.8572845;-4.03833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702834;-;-;7.157959;-0.8665161;-7.0873566;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702854;-;-;6.2948456;0.46705627;-7.8235626;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702874;-;-;6.849106;0.79745483;-5.6436462;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702894;-;-;6.96402;0.20489502;-3.4792938;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702915;-;-;6.1871033;0.27792358;-1.9122772;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702935;-;-;6.5713806;0.2192688;-2.7873688;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702955;-;-;6.5270844;-0.368515;-4.210724;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702975;-;-;6.149994;-0.21528625;-4.4621124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208702996;-;-;5.3251953;0.675354;-4.2933197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703016;-;-;4.5446777;1.7276154;-3.954544;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703036;-;-;4.73024;2.1681366;-3.827652;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703057;-;-;5.9632416;1.9095612;-3.8396149;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703077;-;-;6.86467;1.6904907;-4.171219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703097;-;-;6.9508514;1.4917755;-4.002426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703117;-;-;7.126831;1.5815582;-3.1093903;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703138;-;-;7.762497;1.5025482;-2.6520996;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703158;-;-;8.984726;1.3098145;-2.4533691;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703178;-;-;10.325485;1.2894745;-3.116562;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703198;-;-;11.256836;1.3792572;-3.9952393;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703218;-;-;11.934387;1.4307251;-3.8372192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703239;-;-;11.6662445;1.7096558;-3.2266998;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703258;-;-;10.12796;1.2284241;-6.591751;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703278;-;-;8.720169;2.5859222;-9.767654;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703299;-;-;10.125565;3.3544617;-5.6161194;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703318;-;-;11.043747;2.3285522;-5.765747;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703338;-;-;9.169083;0.36531067;-8.200653;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703359;-;-;6.568985;-0.3146515;-7.9660187;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703378;-;-;6.8515015;-1.1214905;-4.43338;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703398;-;-;7.3710327;-1.2986603;-2.567093;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703419;-;-;7.4177246;-0.63905334;-3.1608582;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703439;-;-;6.9400787;-0.08720398;-2.562317;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703459;-;-;5.881851;0.4000244;-3.041153;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703480;-;-;5.0965424;0.4514923;-3.535553;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703500;-;-;4.0802155;-0.9371338;-3.7151184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208703520;-;-;4.2106934;-2.573578;-3.4625244;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
