TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1514208825712;-;-;8.728546;-2.5125275;2.5337524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825716;-;-;8.559753;-2.4969635;2.580429;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825736;-;-;8.289215;-2.637024;2.7887268;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825757;-;-;8.286819;-2.5855408;2.3793182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825777;-;-;8.373016;-2.435913;2.3685455;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825798;-;-;8.7608795;-2.253952;2.2644043;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825818;-;-;9.598846;-1.5823822;2.2608032;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825838;-;-;8.746506;-2.1330414;1.4168549;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825858;-;-;9.935226;-2.559204;1.8669586;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825879;-;-;9.82869;-2.3712616;1.4300232;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825899;-;-;9.446808;-1.7715149;1.0720825;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825919;-;-;9.175064;-1.4267578;1.4683228;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825939;-;-;8.60405;-1.0855713;1.5641022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825964;-;-;5.924942;-1.9462891;1.5114288;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208825980;-;-;8.717773;-1.5632172;1.7616119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208826000;-;-;8.735733;-2.3102112;1.1558838;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
