TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1514208654015;-;-;9.106842;-0.54808044;-0.3871765;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654016;-;-;9.106842;-0.54808044;-0.3871765;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654031;-;-;9.137955;-0.59716797;-0.36442566;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654051;-;-;9.169083;-0.50738525;-0.47576904;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654072;-;-;9.17746;-0.4918213;-0.42907715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654092;-;-;9.261261;-0.4056244;-0.53800964;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654112;-;-;9.258865;-0.47027588;-0.50808716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654132;-;-;9.212173;-0.5253296;-0.5068817;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654153;-;-;9.121201;-0.51097107;-0.40393066;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654173;-;-;9.110428;-0.48223877;-0.4925232;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654193;-;-;9.06015;-0.54689026;-0.48294067;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654214;-;-;9.143951;-0.60554504;-0.4446411;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654234;-;-;9.383362;-0.33380127;-0.8181305;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654266;-;-;9.732925;-0.16261292;-1.188034;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654275;-;-;9.59166;-0.2033081;-0.69721985;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654295;-;-;9.548569;0.045684814;-0.7199707;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654316;-;-;9.337875;0.38565063;0.10482788;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654336;-;-;9.590469;0.04208374;-0.7666626;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654357;-;-;10.002274;-0.06086731;-1.1030426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654377;-;-;9.366608;-0.27275085;-0.8360901;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654397;-;-;9.735321;-0.4259796;-1.3340912;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654417;-;-;9.151123;-0.44273376;-0.9162903;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654438;-;-;9.404907;-0.6689911;-1.0862885;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654457;-;-;8.966782;-0.3589325;0.023422241;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654477;-;-;8.751297;-0.54089355;-0.43266296;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654498;-;-;8.950012;-0.8665161;-1.0539703;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654518;-;-;9.232529;-0.82341003;-1.1712799;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654538;-;-;8.826721;-0.27035522;-0.966568;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654559;-;-;9.260071;-0.5277252;-1.2682495;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654579;-;-;9.225342;-1.0556488;-1.6513214;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654599;-;-;9.294785;-0.29548645;-1.4023132;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654619;-;-;9.076904;0.8609009;-1.2227478;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654640;-;-;9.227737;0.51016235;-1.0324097;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654660;-;-;9.045776;0.25637817;-1.2419128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654680;-;-;9.453995;0.26715088;-1.590271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654701;-;-;9.608414;0.23362732;-1.4250641;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654720;-;-;8.946426;-0.16500854;-1.3484497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654740;-;-;9.589264;-0.43315125;-1.942215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654761;-;-;9.7413025;-0.25598145;-1.8440552;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654780;-;-;9.677856;0.3030548;-1.8656006;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654800;-;-;9.141556;1.0871582;-1.4897003;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654820;-;-;8.957199;1.0237122;-1.0096741;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654841;-;-;9.631165;0.9650574;-1.5004883;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654860;-;-;9.149933;0.95547485;-1.8656006;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654881;-;-;8.277252;0.7447815;-1.4621735;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654900;-;-;8.021072;2.6828918;-1.7542725;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654920;-;-;7.889389;1.4869843;-0.8720093;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654941;-;-;7.9073334;1.3050385;-1.6968079;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654960;-;-;8.049789;0.675354;-1.5028687;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208654980;-;-;9.0793;-0.25479126;-2.1505127;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655000;-;-;8.795593;-1.273529;-1.7710266;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655021;-;-;8.950012;-1.7188416;-1.7782135;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655041;-;-;8.811157;-1.3118286;-1.471756;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655061;-;-;9.23613;-0.56243896;-1.2850037;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655081;-;-;9.374985;-0.17817688;-1.5483704;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655102;-;-;8.588486;0.4945984;-1.6082153;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655122;-;-;8.119232;1.2511597;-1.0132599;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655142;-;-;8.66391;1.7611237;-0.92108154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655162;-;-;9.175064;1.8592834;-1.045578;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655183;-;-;10.160278;1.4307251;-1.5962524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655203;-;-;9.540192;1.0368805;-1.6118164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655223;-;-;9.963959;-0.73602295;-4.7709656;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655243;-;-;9.0972595;1.2691193;-1.4047089;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655263;-;-;10.416458;0.14025879;-1.8201141;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655283;-;-;8.368225;0.03251648;-1.4549866;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655304;-;-;9.346252;0.37249756;-1.784195;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655324;-;-;9.278015;0.4299469;-1.9853058;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655344;-;-;9.117615;0.48860168;-1.8213043;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655365;-;-;8.7213745;1.2667236;-0.8025665;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655385;-;-;9.146347;0.124694824;-0.6086426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655405;-;-;9.345062;-0.14346313;-0.8600311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655426;-;-;9.655106;0.1725769;-1.6944122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655446;-;-;8.56694;0.8273926;-2.9573517;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655466;-;-;9.576096;1.5360718;-1.8428497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655487;-;-;10.471527;3.1210327;-2.8939056;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655506;-;-;11.515396;3.572342;-5.764557;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655526;-;-;13.655823;0.65141296;-5.91658;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1514208655546;-;-;6.3056183;-1.8301697;-2.8256683;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
